VectorInit,xComp,yComp,functionName,Param1,Param2,return(ifAny),VectorResult,xComp,yComp,desc
,2,5,add,4,1,TRUE,,6,6,basic add
,4,-7,invert,,,,,-4,7,basic invert
,5,8,subtract,4,6,TRUE,,1,2,basic subract
,2.5,4.330127019,scale,6.2,,,,3.1,5.369357503,basic scale
,3.1,5.369357503,normalize,,,,,0.5,0.866025404,basic normazlize
,1.25,2.165063509,rotate,0.448798951,,void?,,0.187,2.493,basic rotate
,1.711840849,0.824379104,limt,0,1,TRUE,,0.900968868,0.433883739,basic limit
,2.163118961,6.657395614,divide,4,,,,0.54077974,1.664348904,basic div
,2.163118961,6.657395614,multipy,4,,,,8.652475843,26.62958246,basic mul
,1.870469406,2.345494447,getLength,,,3,,1.870469406,2.345494447,basic getlength
,1.870469406,2.345494447,setLength,8,,,,4.987918415,6.25465186,basic setlength
,4,7,zero,,,TRUE,,0,0,basic zero
,2.493959207,3.12732593,setangle,2.243994753,,,,?2.49395920743,3.12732593,basic setangle
,4,5,setcomps,3,6,,,3,6,basic setcomps
,2.493959207,3.12732593,getAngle,,,0.897597901,,2.493959207,3.12732593,
